Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
Turbo Charging 100,head heavy,85,Li-Ning,G5,White/Black,29,graphite,oval,2100,Professional
JS-25,head light,78,Victor,G3,Orange/White,26,carbon,isometric,1700,Intermediate
Arcsaber 6,even balance,82,Yonex,G4,Purple/Gold,28,graphite,oval,1900,Advanced
Hypernano X 500,head light,77,Yonex,G5,Yellow/Black,25,carbon,isometric,1600,Intermediate
Jetspeed S 18,head heavy,86,Victor,G3,Red/Blue,29,graphite,oval,2000,Professional
Astrox 58,even balance,80,Yonex,G4,Blue/Silver,27,carbon,isometric,1800,Advanced
Thruster F Blade,head heavy,85,Kawasaki,G5,Black/Green,30,graphite,oval,2000,Professional
Nanoflare 400,head light,76,Yonex,G3,White/Red,26,carbon,isometric,1700,Intermediate
Turbo Charging 70,even balance,83,Li-Ning,G4,Silver/Orange,28,graphite,oval,1900,Advanced
Voltric 3,head heavy,87,Yonex,G5,Black/Gold,29,carbon,isometric,2100,Professional
Meteor X 120,head light,78,Victor,G3,Green/White,25,graphite,oval,1800,Intermediate
Duora 4,dual balanced,84,Yonex,G4,Orange/Black,27,carbon,isometric,1900,Advanced
Air Blade 950,head heavy,86,Li-Ning,G5,Blue/Yellow,30,graphite,oval,2000,
Windstorm 980,head light,77,Carlton,G4,Silver/Purple,26,carbon,isometric,1700,Advanced
Nanoray 550,even balance,82,Yonex,G5,Red/White,28,graphite,oval,1900,Professional
Thruster K 35,head heavy,85,Kawasaki,G3,Black/Orange,29,carbon,isometric,2000,Advanced
Jetspeed 20,head light,76,Victor,G4,Blue/Gold,25,graphite,oval,1600,Intermediate
Astrox 52,even balance,81,Yonex,G5,Yellow/Black,27,carbon,isometric,1800,Advanced
Turbo Charging 110,head heavy,87,Li-Ning,G3,White/Green,30,graphite,oval,2100,Professional
Voltric 65,head heavy,86,Yonex,G4,Gold/Blue,29,carbon,isometric,2000,Professional
Air Blade 850,head light,78,Li-Ning,G5,Black/Silver,26,graphite,oval,1800,Advanced
Meteor X 95,even balance,83,Victor,G3,Purple/White,28,carbon,isometric,1900,Intermediate
Duora 3,dual balanced,84,Yonex,G4,Pink/Black,27,graphite,oval,1900,Advanced
Hypernano X 400,head light,77,Yonex,G5,White/Red,25,carbon,isometric,1700,Intermediate
JS-30,head heavy,85,Victor,G3,Green/Gold,29,graphite,oval,2000,Professional
Arcsaber 5,even balance,82,Yonex,G4,Blue/Orange,28,carbon,isometric,1800,Advanced
Thruster F Power,head heavy,86,Kawasaki,G5,Red/Yellow,30,graphite,oval,2100,Professional
Nanoflare 300,head light,76,Yonex,G3,Black/White,26,carbon,isometric,1600,Intermediate
Turbo Charging 55,even balance,83,Li-Ning,G4,Silver/Blue,27,graphite,oval,1900,Advanced
Voltric 1,head heavy,87,Yonex,G5,Gold/Black,29,carbon,isometric,2000,Professional
Windstorm 800,head light,78,Carlton,G3,White/Green,25,graphite,oval,1700,Intermediate
Jetspeed 25,even balance,81,Victor,G4,Orange/Silver,28,carbon,isometric,1800,Advanced
Astrox 48,head heavy,85,Yonex,G5,Blue/Red,29,graphite,oval,2000,Professional
Duora 2,dual balanced,83,Yonex,G4,White/Purple,27,carbon,isometric,1850,Advanced
Air Blade 750,head heavy,86,Li-Ning,G5,Black/Red,29,graphite,oval,2050,Professional
Meteor X 55,head light,76,Victor,G3,Yellow/Black,25,carbon,isometric,1550,Intermediate
Thruster K 40,even balance,82,Kawasaki,G4,Green/White,28,graphite,oval,1950,Advanced
Nanoray 500,head light,77,Yonex,G5,Blue/Orange,26,carbon,isometric,1750,Intermediate
Voltric 60,head heavy,87,Yonex,G3,Red/Gold,30,graphite,oval,2100,Professional
Windstorm 890,even balance,81,Carlton,G4,Silver/Black,27,carbon,isometric,1800,Advanced
Turbo Charging 95,head heavy,85,Li-Ning,G5,White/Blue,29,graphite,oval,2000,Professional
JS-35,head light,78,Victor,G3,Purple/Yellow,26,carbon,isometric,1700,Intermediate
Arcsaber 4,even balance,82,Yonex,G4,Orange/White,28,graphite,oval,1900,Advanced
Hypernano X 300,head light,77,Yonex,G5,Black/Green,25,carbon,isometric,1650,Intermediate
Jetspeed S 20,head heavy,86,Victor,G3,Blue/Silver,29,graphite,oval,2050,Professional
Astrox 46,even balance,80,Yonex,G4,Red/White,27,carbon,isometric,1850,Advanced
Thruster F Speed,head heavy,85,Kawasaki,G5,Yellow/Blue,30,graphite,oval,2100,Professional
Nanoflare 200,head light,76,Yonex,G3,White/Black,26,carbon,isometric,1600,Intermediate
Turbo Charging 45,even balance,83,Li-Ning,G4,Gold/Red,28,graphite,oval,1950,Advanced
Voltric 0,head heavy,87,Yonex,G5,Black/Silver,29,carbon,isometric,2150,Professional
Meteor X 130,head light,78,Victor,G3,Green/Orange,25,graphite,oval,1750,Intermediate
Duora 1,dual balanced,84,Yonex,G4,Pink/White,27,carbon,isometric,1900,Advanced
Air Blade 700,head heavy,86,Li-Ning,G5,Blue/Black,30,graphite,oval,2050,Professional
Skyline X90,head heavy,87,Forza,G4,Navy/Silver,29,graphite,isometric,1950,Professional
Swift Blade 700,even balance,81,Ashaway,G5,Red/Gold,27,carbon,oval,1800,Advanced
PowerStrike 3000,head light,76,RSL,G3,Black/Neon Green,25,composite,isometric,1650,Intermediate
Fusion Pro,dual balanced,84,Apacs,G4,White/Blue,28,nanomesh,oval,1900,Advanced
Tornado Force,head heavy,86,Babolat,G5,Orange/Gray,30,tungsten,isometric,2100,Professional
Cosmic GX,even balance,82,Mizuno,G3,Purple/Silver,28,graphite,oval,1850,Advanced
Titan Cloud,head light,77,Adidas,G4,Green/White,26,carbon,isometric,1700,Intermediate
Precision Pro,head heavy,85,Wilson,G5,Black/Yellow,29,kevlar,oval,2000,Professional
Stealth Blade,even balance,80,Black Knight,G3,Silver/Red,27,carbon,isometric,1800,Advanced
Quantum X80,head light,78,Oliver,G4,Blue/Orange,26,graphite,oval,1750,Intermediate
Hurricane Force,head heavy,87,FZ Forza,G5,Yellow/Black,30,nanomaterial,isometric,2050,Professional
Airstream 9000,even balance,83,Fleet,G3,White/Gold,28,carbon,oval,1900,Advanced
Mega Power,head heavy,86,Prokennex,G4,Red/Silver,29,graphite,isometric,2000,Professional
Feather Light Pro,head light,75,Karakal,G5,Light Blue/White,25,carbon,oval,1600,Intermediate
Titan Woven,even balance,82,Tactic,G3,Black/Orange,27,graphite,isometric,1850,Advanced
Vortex 1000,head heavy,85,Victo,G4,Green/Gold,29,graphite,oval,1950,Professional
Aero Smash,head light,77,Gosen,G5,Purple/Neon Yellow,26,carbon,isometric,1700,Intermediate
Phantom X-Speed,even balance,81,Ashaway,G3,Silver/Blue,28,graphite,oval,1800,Advanced
Cyclone Power,head heavy,86,Victor,G4,Orange/Black,30,tungsten,isometric,2100,Professional
Kinetic K9,dual balanced,83,Yehlex,G5,White/Red,27,carbon,oval,1900,Advanced
Thunderbolt X,head heavy,88,Sosan,G4,Red/Black,30,graphite,isometric,2150,Professional
AeroFlex Elite,even balance,82,Yang Yang,G5,Blue/Silver,28,carbon,oval,1900,Advanced
LightSpeed Pro,head light,76,Sotx,G3,White/Green,25,nano-alloy,isometric,1650,Intermediate
PowerForce Ultimate,head heavy,87,Winex,G4,Orange/Gray,29,tungsten,oval,2050,Professional
AirStream Lite,head light,75,Wish,G5,Yellow/Purple,26,graphite,isometric,1600,Intermediate
Quantum Blade,even balance,83,Toalson,G3,Black/Neon Blue,28,carbon,oval,1850,Advanced
Titanium Spark,head heavy,86,Bonny,G4,Silver/Red,30,titanium alloy,isometric,2000,Professional
Feather Touch,head light,77,Kumpoo,G5,Pink/White,25,carbon,oval,1700,Intermediate
Vortex Storm,even balance,82,Babolat,G3,Green/Gold,27,graphite,isometric,1900,Advanced
Tornado Elite,head heavy,85,Yonex,G4,Purple/Silver,29,graphite,oval,2100,Professional
Swift Strike,head light,78,Victor,G5,Navy/Orange,26,carbon,isometric,1750,Intermediate
Precision Master,even balance,81,Li-Ning,G3,Red/White,28,aerotec beam,oval,1850,Advanced
Stealth Assassin,head heavy,87,Kawasaki,G4,Black/Neon Green,30,nano-composite,isometric,2050,Professional
Cosmic Flare,head light,76,Carlton,G5,Blue/Yellow,25,graphite,oval,1650,Intermediate
Titan Force,even balance,83,Ashaway,G3,White/Black,28,carbon,isometric,1900,Advanced
Hurricane X,head heavy,86,Forza,G4,Orange/Blue,29,carbon,oval,2000,Professional
Airborne Assault,head light,77,RSL,G5,Green/Silver,26,graphite,isometric,1700,Intermediate
Phantom Edge,even balance,82,Apacs,G3,Purple/Gold,27,carbon,oval,1850,Advanced
Cyclone Fury,head heavy,85,Black Knight,G4,Red/Gray,30,graphite,isometric,2100,Professional
Kinetic Wave,dual balanced,84,Fleet,G5,Yellow/Black,28,carbon,oval,1950,Advanced
Falcon Wing,head heavy,87,Proace,G4,Teal/Gold,29,carbon,isometric,2050,Professional
Zenith Pro,even balance,82,Xamsa,G5,Black/Silver,27,graphite,oval,1900,Advanced
Featherlight X,head light,75,Yehlex,G3,White/Lime,25,carbon,isometric,1600,Intermediate
Thunderstrike Elite,head heavy,86,Tracer,G4,Red/Navy,30,graphite,oval,2100,Professional
AeroSwift Lite,head light,77,Talbot Torro,G5,Orange/Gray,26,carbon,isometric,1700,Intermediate
Quantum Flux,even balance,83,Senston,G3,Purple/Neon Yellow,28,nano-composite,oval,1850,Advanced
TitanForce X,head heavy,88,Perfly,G4,Blue/Orange,31,graphite,isometric,2150,Professional
Swift Feather,head light,76,Pointfore,G5,Green/White,25,carbon,oval,1650,Intermediate
Vortex Precision,even balance,81,Oliver,G3,Silver/Black,27,graphite,isometric,1800,Advanced
Cyclone Blast,head heavy,85,Mizuno,G4,Yellow/Purple,29,carbon,oval,2000,Professional
Stealth Shadow,head light,78,Mantis,G5,Charcoal/Neon Blue,26,carbon,isometric,1750,Intermediate
Hurricane Force Pro,even balance,82,Karakal,G3,Red/Silver,28,graphite,oval,1900,Advanced
Phantom Striker,head heavy,87,Gosen,G4,Black/Gold,30,carbon,isometric,2100,Professional
Cosmic Flare Lite,head light,76,FZ Forza,G5,Pink/Gray,25,graphite,oval,1650,Intermediate
AirStream Assault,even balance,83,Fleet,G3,Navy/Neon Green,28,carbon,isometric,1950,Advanced
Titan Sword,head heavy,86,Essence,G4,White/Red,29,graphite,oval,2050,Professional
LightSpeed Ace,head light,77,Dunlop,G5,Light Blue/Black,26,carbon,isometric,1700,Intermediate
Precision Elite,even balance,82,Donnay,G3,Orange/White,27,graphite,oval,1850,Advanced
Tornado Fury,head heavy,85,Babolat,G4,Green/Gold,30,carbon,isometric,2000,Professional
Kinetic Pulse,dual balanced,84,Ashaway,G5,Purple/Silver,28,graphite,oval,1950,Advanced
Nebula Force,head heavy,87,Starlight,G4,Galaxy Blue/Silver,29,carbon,isometric,2100,Professional
Velocity Pro,even balance,83,Swiftblade,G5,Red/Black,28,graphite,oval,1950,Advanced
Feather Rush,head light,76,Aerowing,G3,White/Neon Orange,25,carbon,isometric,1650,Intermediate
Titan Crusher,head heavy,88,Powersmash,G4,Gunmetal/Gold,31,graphite,oval,2200,Professional
Zephyr Lite,head light,75,Windforce,G5,Teal/Yellow,26,carbon,isometric,1600,Intermediate
Quantum Surge,even balance,82,Nanotech,G3,Electric Blue/White,27,graphite,oval,1850,Advanced
Thunderbolt Pro,head heavy,86,Stormbreaker,G4,Black/Lightning Yellow,30,carbon,isometric,2050,Professional
Swift Glide,head light,77,Glidetech,G5,Silver/Lime Green,25,carbon,oval,1700,Intermediate
Vortex Extreme,even balance,84,Extremeforce,G3,Orange/Dark Gray,28,graphite,isometric,1900,Advanced
Cyclone Master,head heavy,87,Windmaster,G4,Purple/Neon Green,29,carbon,oval,2150,Professional
Stealth Ninja,head light,76,Shadowcraft,G5,Matte Black/Red,26,graphite,isometric,1650,Intermediate
Hurricane X-Force,even balance,83,Stormtech,G3,Navy/Flash Orange,28,carbon,oval,1950,Advanced
Phantom Edge Pro,head heavy,85,Edgemaster,G4,Charcoal/Electric Blue,30,graphite,isometric,2000,Professional
Cosmic Flare Ultra,head light,78,Ultralight,G5,Neon Yellow/Black,25,carbon,oval,1750,Intermediate
AirStream Elite,even balance,82,Eliteforce,G3,White/Royal Blue,27,carbon,isometric,1850,Advanced
Titan Blaze,head heavy,86,Blazetech,G4,Flame Red/Orange,29,graphite,oval,2100,Professional
LightSpeed Falcon,head light,77,Falconwing,G5,Sky Blue/Silver,26,carbon,isometric,1700,Intermediate
Precision Sniper,even balance,81,Sharpshooter,G3,Green/Black,28,graphite,oval,1800,Advanced
Tornado Twister,head heavy,85,Twisttech,G4,Tornado Gray/Neon Pink,30,carbon,isometric,2050,Professional
Kinetic Fusion,dual balanced,84,Fusioncraft,G5,Fusion Purple/Gold,28,graphite,oval,1950,Advanced
Apex Predator,head heavy,88,ApexTech,G4,Predator Black/Red,31,carbon,isometric,2200,Professional
Nimbus Cloud,even balance,82,Cloudstrike,G5,Cloud White/Sky Blue,27,graphite,oval,1900,Advanced
Feather Whisper,head light,75,WhisperTech,G3,Whisper Gray/Pink,25,carbon,isometric,1600,Intermediate
Titan Colossus,head heavy,87,ColossalForce,G4,Titanium Silver/Blue,30,graphite,oval,2150,Professional
Zephyr Breeze,head light,76,BreezeWing,G5,Breeze Green/White,26,carbon,isometric,1650,Intermediate
Quantum Leap,even balance,83,LeapForce,G3,Quantum Purple/Neon Green,28,graphite,oval,1950,Advanced
Thunderstorm Elite,head heavy,86,StormElite,G4,Storm Gray/Lightning Yellow,29,carbon,isometric,2100,Professional
Swift Current,head light,77,CurrentTech,G5,River Blue/Silver,25,graphite,oval,1700,Intermediate
Vortex Typhoon,even balance,84,TyphoonForce,G3,Typhoon Teal/Orange,28,carbon,isometric,1950,Advanced
Cyclone Tornado,head heavy,87,TornadoTech,G4,Tornado Red/Black,30,graphite,oval,2200,Professional
Stealth Phantom,head light,76,PhantomCraft,G5,Ghost White/Shadow Gray,26,carbon,isometric,1650,Intermediate
Hurricane Tempest,even balance,83,TempestForce,G3,Tempest Blue/Flash Yellow,28,graphite,oval,1900,Advanced
Phantom Mirage,head heavy,85,MirageWorks,G4,Mirage Silver/Purple,29,carbon,isometric,2050,Professional
Cosmic Nova,head light,78,NovaLight,G5,Nova Orange/Stardust White,25,graphite,oval,1750,Intermediate
AirStream Jet,even balance,82,JetStream,G3,Jet Black/Neon Blue,27,carbon,isometric,1850,Advanced
Titan Atlas,head heavy,86,AtlasForce,G4,Atlas Gold/Onyx Black,30,graphite,oval,2150,Professional
LightSpeed Photon,head light,77,PhotonTech,G5,Photon Yellow/Electric Purple,26,carbon,isometric,1700,Intermediate
Precision Hawk,even balance,81,HawkEye,G3,Hawk Brown/Forest Green,28,graphite,oval,1800,Advanced
Tornado Cyclone,head heavy,85,CycloneForce,G4,Cyclone Blue/Storm Gray,29,carbon,isometric,2000,Professional
Kinetic Electron,dual balanced,84,ElectronTech,G5,Electron Blue/Proton Red,28,graphite,oval,1950,Advanced
Sigma Flux,head heavy,87,FluxTech,G4,Flux Green/Sigma Black,30,carbon,isometric,2100,Professional
Helios Sun,even balance,83,SolarForce,G5,Solar Yellow/Helios Orange,28,graphite,oval,1950,Advanced
Feather Cirrus,head light,76,CirrusTech,G3,Cirrus White/Sky Blue,25,carbon,isometric,1650,Intermediate
Titan Olympus,head heavy,88,OlympusForce,G4,Olympian Gold/Royal Blue,31,graphite,oval,2200,Professional
Zephyr Mistral,head light,75,MistralWing,G5,Misty Gray/Sea Green,26,carbon,isometric,1600,Intermediate
Quantum Quasar,even balance,82,QuasarTech,G3,Quasar Purple/Cosmic White,27,graphite,oval,1850,Advanced
Thunderbolt Zeus,head heavy,86,ZeusForce,G4,Zeus Blue/Lightning Silver,29,carbon,isometric,2050,Professional
Swift Mercury,head light,77,MercurySpeed,G5,Mercury Silver/Flash Red,25,graphite,oval,1700,Intermediate
Vortex Maelstrom,even balance,84,MaelstromTech,G3,Maelstrom Blue/Whirlpool White,28,carbon,isometric,1900,Advanced
Cyclone Sirocco,head heavy,87,SiroccoForce,G4,Sirocco Orange/Desert Tan,30,graphite,oval,2150,Professional
Stealth Eclipse,head light,76,EclipseTech,G5,Eclipse Black/Lunar Gray,26,carbon,isometric,1650,Intermediate
Hurricane Monsoon,even balance,83,MonsoonForce,G3,Monsoon Green/Storm Gray,28,graphite,oval,1950,Advanced
Phantom Spectre,head heavy,85,SpectreTech,G4,Spectre Silver/Ghost White,29,carbon,isometric,2000,Professional
Cosmic Nebula,head light,78,NebulaTech,G5,Nebula Pink/Stardust Purple,25,graphite,oval,1750,Intermediate
AirStream Zephyr,even balance,82,ZephyrTech,G3,Zephyr Blue/Cloud White,27,carbon,isometric,1850,Advanced
Titan Kraken,head heavy,86,KrakenForce,G4,Kraken Black/Deep Sea Blue,30,graphite,oval,2100,Professional
LightSpeed Aurora,head light,77,AuroraTech,G5,Aurora Green/Polar White,26,carbon,isometric,1700,Intermediate
Precision Falcon,even balance,81,FalconTech,G3,Falcon Brown/Sky Blue,28,graphite,oval,1800,Advanced
Tornado Tsunami,head heavy,85,TsunamiForce,G4,Tsunami Blue/Wave White,29,carbon,isometric,2050,Professional
Kinetic Neutron,dual balanced,84,NeutronTech,G5,Neutron Gray/Energy Green,28,graphite,oval,1950,Advanced
Plasma Pulse,head heavy,87,PulseTech,G4,Plasma Blue/Electric White,30,carbon,isometric,2150,Professional
Nova Burst,even balance,83,BurstForce,G5,Nova Orange/Cosmic Black,28,graphite,oval,1950,Advanced
Feather Wisp,head light,75,WispTech,G3,Wisp White/Ethereal Silver,25,carbon,isometric,1600,Intermediate
Titan Goliath,head heavy,88,GoliathForce,G4,Goliath Red/Stone Gray,31,graphite,oval,2200,Professional
Zephyr Chinook,head light,76,ChinookWing,G5,Chinook Green/Arctic White,26,carbon,isometric,1650,Intermediate
Quantum Void,even balance,82,VoidTech,G3,Void Black/Nebula Purple,27,graphite,oval,1850,Advanced
Thunderbolt Thor,head heavy,86,ThorForce,G4,Thor Silver/Storm Blue,29,carbon,isometric,2100,Professional
Swift Comet,head light,77,CometSpeed,G5,Comet White/Tail Blue,25,graphite,oval,1700,Intermediate
Vortex Whirlwind,even balance,84,WhirlwindTech,G3,Whirlwind Gray/Cyclone Yellow,28,carbon,isometric,1900,Advanced
Cyclone Harmattan,head heavy,87,HarmattanForce,G4,Harmattan Gold/Desert Brown,30,graphite,oval,2150,Professional
Stealth Wraith,head light,76,WraithTech,G5,Wraith Black/Shadow Purple,26,carbon,isometric,1650,Intermediate
Hurricane Typhoon,even balance,83,TyphoonForce,G3,Typhoon Blue/Cloud Gray,28,graphite,oval,1950,Advanced
Phantom Poltergeist,head heavy,85,PoltergeistTech,G4,Poltergeist White/Ectoplasm Green,29,carbon,isometric,2000,Professional
Cosmic Pulsar,head light,78,PulsarTech,G5,Pulsar Red/Star White,25,graphite,oval,1750,Intermediate
AirStream Mistral,even balance,82,MistralTech,G3,Mistral Blue/Sea Foam,27,carbon,isometric,1850,Advanced
Titan Colossus,head heavy,86,ColossusForce,G4,Colossus Bronze/Olympian Gold,30,graphite,oval,2100,Professional
LightSpeed Neutrino,head light,77,NeutrinoTech,G5,Neutrino Blue/Quantum White,26,carbon,isometric,1700,Intermediate
Precision Eagle,even balance,81,EagleTech,G3,Eagle Brown/Sky Blue,28,graphite,oval,1800,Advanced
Tornado Derecho,head heavy,85,DerechoForce,G4,Derecho Green/Storm Gray,29,carbon,isometric,2050,Professional
Kinetic Fusion,dual balanced,84,FusionTech,G5,Fusion Purple/Reactor Blue,28,graphite,oval,1950,Advanced
Supernova Flare,head heavy,87,FlareTech,G4,Supernova Red/Cosmic Black,30,carbon,isometric,2150,Professional
Astro Voyager,even balance,83,VoyagerForce,G5,Astro Blue/Starlight Silver,28,graphite,oval,1950,Advanced
Feather Nimbus,head light,75,NimbusTech,G3,Nimbus Gray/Cloud White,25,carbon,isometric,1600,Intermediate
Titan Behemoth,head heavy,88,BehemothForce,G4,Behemoth Black/Titanium Gray,31,graphite,oval,2200,Professional
Zephyr Sirocco,head light,76,SiroccoWing,G5,Sirocco Tan/Desert Gold,26,carbon,isometric,1650,Intermediate
Quantum Singularity,even balance,82,SingularityTech,G3,Singularity Black/Event Horizon Blue,27,graphite,oval,1850,Advanced
Thunderbolt Odin,head heavy,86,OdinForce,G4,Odin Gold/Asgard Silver,29,carbon,isometric,2100,Professional
Swift Meteor,head light,77,MeteorSpeed,G5,Meteor Gray/Flame Orange,25,graphite,oval,1700,Intermediate
Vortex Tempest,even balance,84,TempestTech,G3,Tempest Blue/Lightning White,28,carbon,isometric,1900,Advanced
Cyclone Mistral,head heavy,87,MistralForce,G4,Mistral Green/Sea Foam,30,graphite,oval,2150,Professional
Stealth Shadowblade,head light,76,ShadowbladeTech,G5,Shadow Black/Ninja Gray,26,carbon,isometric,1650,Intermediate
Hurricane Blizzard,even balance,83,BlizzardForce,G3,Blizzard White/Ice Blue,28,graphite,oval,1950,Advanced
Phantom Banshee,head heavy,85,BansheeTech,G4,Banshee White/Spectral Green,29,carbon,isometric,2000,Professional
Cosmic Quasar,head light,78,QuasarTech,G5,Quasar Purple/Galactic Silver,25,graphite,oval,1750,Intermediate
AirStream Jetstream,even balance,82,JetstreamTech,G3,Jetstream Blue/Cloud White,27,carbon,isometric,1850,Advanced
