,Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
355,Prometheus Blaze,head heavy,86,BlazeWing,G4,Blaze Orange/Olympian Gold,30,graphite,isometric,2100,Professional
358,Tornado Twister,head heavy,85,TwisterWing,G4,Twister Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
360,Orion Zenith,head heavy,88,ZenithForce,G4,Zenith Gold/Starlight White,31,graphite,oval,2200,Professional
363,Inferno Lava,head heavy,87,LavaForce,G4,Lava Red/Charcoal Black,30,graphite,isometric,2150,Professional
366,Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
369,Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
372,Shadow Spectre,head heavy,87,SpectreForce,G4,Spectre Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
375,Blaze Inferno,head heavy,86,InfernoTech,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
378,Twister Tornado,head heavy,85,TornadoTech,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
380,Orion Meteor,head heavy,88,MeteorForce,G4,Meteor Gold/Starlight White,31,graphite,oval,2200,Professional
383,Inferno Flame,head heavy,87,FlameForce,G4,Flame Red/Charcoal Black,30,graphite,isometric,2150,Professional
386,Lightning Bolt,head heavy,85,BoltTech,G4,Bolt Gold/Storm Gray,29,carbon,oval,2050,Professional
389,Twister Cyclone,head heavy,86,CycloneForce,G4,Cyclone Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
392,Specter Phantom,head heavy,87,PhantomForce,G4,Phantom Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
395,Blaze Prometheus,head heavy,86,PrometheusTech,G4,Prometheus Orange/Olympian Gold,30,graphite,isometric,2100,Professional
398,Twister Whirlwind,head heavy,85,WhirlwindTech,G4,Whirlwind Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
400,Orion Nova,head heavy,88,NovaForce,G4,Nova Gold/Starlight White,31,graphite,oval,2200,Professional
403,Inferno Blaze,head heavy,87,BlazeWing,G4,Blaze Red/Charcoal Black,30,graphite,isometric,2150,Professional
406,Lightning Thunder,head heavy,85,ThunderWing,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
409,Twister Vortex,head heavy,86,VortexWing,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
412,Specter Shadow,head heavy,87,ShadowTech,G4,Shadow Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
415,Blaze Inferno,head heavy,86,InfernoWing,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
418,Twister Tornado,head heavy,85,TornadoTech,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
420,Orion Zenith,head heavy,88,ZenithForce,G4,Zenith Gold/Starlight White,31,graphite,oval,2200,Professional
423,Inferno Lava,head heavy,87,LavaForce,G4,Lava Red/Charcoal Black,30,graphite,isometric,2150,Professional
426,Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
429,Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
432,Shadow Spectre,head heavy,87,SpectreForce,G4,Spectre Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
435,Blaze Inferno,head heavy,86,InfernoTech,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
438,Twister Whirlwind,head heavy,85,WhirlwindTech,G4,Whirlwind Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
440,Orion Nova,head heavy,88,NovaForce,G4,Nova Gold/Starlight White,31,graphite,oval,2200,Professional
443,Inferno Blaze,head heavy,87,BlazeWing,G4,Blaze Red/Charcoal Black,30,graphite,isometric,2150,Professional
446,Lightning Thunder,head heavy,85,ThunderWing,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
449,Twister Vortex,head heavy,86,VortexWing,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
452,Specter Shadow,head heavy,87,ShadowTech,G4,Shadow Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
455,Blaze Inferno,head heavy,86,InfernoWing,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
458,Twister Tornado,head heavy,85,TornadoTech,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
460,Orion Zenith,head heavy,88,ZenithForce,G4,Zenith Gold/Starlight White,31,graphite,oval,2200,Professional
463,Inferno Lava,head heavy,87,LavaForce,G4,Lava Red/Charcoal Black,30,graphite,isometric,2150,Professional
466,Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
469,Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
474,Twister Tornado,head heavy,85,TornadoTech,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
476,Orion Zenith,head heavy,88,ZenithForce,G4,Zenith Gold/Starlight White,31,graphite,oval,2200,Professional
479,Inferno Lava,head heavy,87,LavaForce,G4,Lava Red/Charcoal Black,30,graphite,isometric,2150,Professional
482,Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
485,Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
488,Shadow Spectre,head heavy,87,SpectreForce,G4,Spectre Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
491,Blaze Inferno,head heavy,86,InfernoTech,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
494,Twister Whirlwind,head heavy,85,WhirlwindTech,G4,Whirlwind Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
496,Orion Nova,head heavy,88,NovaForce,G4,Nova Gold/Starlight White,31,graphite,oval,2200,Professional
499,Inferno Blaze,head heavy,87,BlazeWing,G4,Blaze Red/Charcoal Black,30,graphite,isometric,2150,Professional
502,Lightning Thunder,head heavy,85,ThunderWing,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
505,Twister Vortex,head heavy,86,VortexWing,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
508,Specter Shadow,head heavy,87,ShadowTech,G4,Shadow Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
511,Blaze Inferno,head heavy,86,InfernoWing,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
514,Twister Tornado,head heavy,85,TornadoTech,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
516,Orion Zenith,head heavy,88,ZenithForce,G4,Zenith Gold/Starlight White,31,graphite,oval,2200,Professional
519,Inferno Lava,head heavy,87,LavaForce,G4,Lava Red/Charcoal Black,30,graphite,isometric,2150,Professional
522,Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
525,Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
529,Whirlwind Force,head heavy,86,ForceTech,G4,Force Purple/Tornado Silver,29,carbon,oval,2070,Professional
531,Orion Comet,head heavy,88,CometTech,G4,Comet Gold/Star White,31,graphite,oval,2250,Professional
534,Inferno Scorch,head heavy,87,ScorchForce,G4,Scorch Red/Ember Black,30,graphite,isometric,2170,Professional
537,Lightning Bolt,head heavy,84,BoltForce,G4,Bolt Gold/Thunder Gray,29,carbon,oval,2070,Professional
540,Twister Cyclone,head heavy,86,CycloneForce,G4,Cyclone Red/Storm Gray,30,graphite,isometric,2120,Professional
543,Shadow Phantom,head heavy,87,PhantomForce,G4,Phantom Gray/Ghost Green,30,carbon,oval,2170,Professional
546,Blaze Firestorm,head heavy,86,FirestormTech,G4,Firestorm Orange/Olympian Gold,30,graphite,isometric,2120,Professional
549,Twister Tempest,head heavy,85,TempestTech,G4,Tempest Purple/Whirlwind Silver,29,carbon,oval,2070,Professional
551,Orion Nebula,head heavy,88,NebulaForce,G4,Nebula Gold/Starlight White,31,graphite,oval,2250,Professional
554,Inferno Blaze,head heavy,87,BlazeForce,G4,Blaze Red/Charcoal Black,30,graphite,isometric,2170,Professional
557,Lightning Spark,head heavy,85,SparkForce,G4,Spark Gold/Thunder Gray,29,carbon,oval,2070,Professional
560,Twister Cyclone,head heavy,86,CycloneWing,G4,Cyclone Red/Whirlwind Gray,30,graphite,isometric,2120,Professional
563,Specter Phantom,head heavy,87,PhantomForce,G4,Phantom Gray/Ectoplasm Green,30,carbon,oval,2170,Professional
566,Blaze Inferno,head heavy,86,InfernoWing,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2120,Professional
569,Twister Whirlwind,head heavy,85,WhirlwindTech,G4,Whirlwind Purple/Tornado Silver,29,carbon,oval,2070,Professional
571,Orion Zenith,head heavy,88,ZenithTech,G4,Zenith Gold/Starlight White,31,graphite,oval,2250,Professional
574,Inferno Lava,head heavy,87,LavaTech,G4,Lava Red/Ember Black,30,graphite,isometric,2170,Professional
577,Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2070,Professional
580,Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2120,Professional
584,Meteor Blaze,head heavy,88,BlazeTech,G4,Blaze Red/Fire Gold,31,graphite,oval,2300,Professional
587,Photon Radiance,head heavy,86,RadianceTech,G4,Radiance Gold/Light Silver,29,carbon,isometric,2200,Professional
589,Volcano Inferno,head heavy,89,InfernoTech,G4,Inferno Orange/Crimson Red,32,carbon,isometric,2350,Professional
591,Vortex Cyclone,head heavy,87,CycloneTech,G4,Cyclone Purple/Storm Gray,30,graphite,isometric,2180,Professional
594,Stellar Radiance,head heavy,85,RadianceWing,G4,Radiance Silver/Star Gold,29,carbon,oval,2220,Professional
597,Meteor Lightning,head heavy,88,LightningWing,G4,Lightning Gold/Storm Silver,31,graphite,isometric,2300,Professional
600,Nova Starburst,head heavy,86,StarburstTech,G4,Starburst Gold/Night Black,29,graphite,isometric,2200,Professional
603,Inferno Magma,head heavy,89,MagmaTech,G4,Magma Red/Crimson Black,32,graphite,isometric,2350,Professional
605,Vortex Fury,head heavy,87,FuryWing,G4,Fury Purple/Storm Gray,30,graphite,isometric,2180,Professional
608,Stellar Blaze,head heavy,85,BlazeWing,G4,Blaze Silver/Star Gold,29,carbon,oval,2220,Professional
611,Meteor Blaze,head heavy,88,BlazeWing,G4,Blaze Gold/Fire Silver,31,graphite,isometric,2300,Professional
614,Nova Lightning,head heavy,86,LightningTech,G4,Lightning Silver/Night Black,29,graphite,isometric,2200,Professional
617,Inferno Volcanic,head heavy,89,VolcanoTech,G4,Volcanic Red/Crimson Black,32,graphite,isometric,2350,Professional
619,Vortex Lightning,head heavy,87,LightningTech,G4,Lightning Purple/Storm Gray,30,graphite,isometric,2180,Professional
622,Stellar Thunder,head heavy,85,ThunderTech,G4,Thunder Silver/Star Gold,29,carbon,oval,2220,Professional
625,Meteor Blaze,head heavy,88,BlazeTech,G4,Blaze Gold/Fire Silver,31,graphite,isometric,2300,Professional
628,Nova Inferno,head heavy,86,InfernoTech,G4,Inferno Silver/Night Black,29,graphite,isometric,2200,Professional
631,Inferno Magma,head heavy,89,MagmaTech,G4,Magma Red/Crimson Black,32,graphite,isometric,2350,Professional
633,Vortex Blaze,head heavy,87,BlazeTech,G4,Blaze Purple/Storm Gray,30,graphite,isometric,2180,Professional
636,Stellar Surge,head heavy,85,SurgeTech,G4,Surge Silver/Star Gold,29,carbon,oval,2220,Professional
