,Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
148,Stealth Blade,even balance,80,Black Knight,G3,Silver/Red,27,carbon fiber,isometric,1800,Advanced
149,Quantum X80,head light,78,Oliver,G4,Blue/Orange,26,graphite,oval,1750,Intermediate
150,Hurricane Force,head heavy,87,FZ Forza,G5,Yellow/Black,30,nanomaterial,isometric,2050,Professional
151,Airstream 9000,even balance,83,Fleet,G3,White/Gold,28,carbon,oval,1900,Advanced
152,Mega Power,head heavy,86,Prokennex,G4,Red/Silver,29,graphite,isometric,2000,Professional
153,Feather Light Pro,head light,75,Karakal,G5,Light Blue/White,25,carbon fiber,oval,1600,Intermediate
154,Titan Woven,even balance,82,Tactic,G3,Black/Orange,27,woven graphite,isometric,1850,Advanced
155,Vortex 1000,head heavy,85,Victo,G4,Green/Gold,29,nanographite,oval,1950,Professional
156,Aero Smash,head light,77,Gosen,G5,Purple/Neon Yellow,26,carbon,isometric,1700,Intermediate
157,Phantom X-Speed,even balance,81,Ashaway,G3,Silver/Blue,28,graphite,oval,1800,Advanced
158,Cyclone Power,head heavy,86,Victor,G4,Orange/Black,30,tungsten infused,isometric,2100,Professional
159,Kinetic K9,dual balanced,83,Yehlex,G5,White/Red,27,carbon fiber,oval,1900,Advanced
160,Thunderbolt X,head heavy,88,Sosan,G4,Red/Black,30,graphite composite,isometric,2150,Professional
161,AeroFlex Elite,even balance,82,Yang Yang,G5,Blue/Silver,28,carbon fiber,oval,1900,Advanced
162,LightSpeed Pro,head light,76,Sotx,G3,White/Green,25,nano-alloy,isometric,1650,Intermediate
163,PowerForce Ultimate,head heavy,87,Winex,G4,Orange/Gray,29,tungsten-infused,oval,2050,Professional
164,AirStream Lite,head light,75,Wish,G5,Yellow/Purple,26,graphite,isometric,1600,Intermediate
165,Quantum Blade,even balance,83,Toalson,G3,Black/Neon Blue,28,carbon,oval,1850,Advanced
166,Titanium Spark,head heavy,86,Bonny,G4,Silver/Red,30,titanium alloy,isometric,2000,Professional
167,Feather Touch,head light,77,Kumpoo,G5,Pink/White,25,nano-carbon,oval,1700,Intermediate
168,Vortex Storm,even balance,82,Babolat,G3,Green/Gold,27,graphite weave,isometric,1900,Advanced
169,Tornado Elite,head heavy,85,Yonex,G4,Purple/Silver,29,HM graphite,oval,2100,Professional
170,Swift Strike,head light,78,Victor,G5,Navy/Orange,26,carbon fiber,isometric,1750,Intermediate
171,Precision Master,even balance,81,Li-Ning,G3,Red/White,28,aerotec beam,oval,1850,Advanced
172,Stealth Assassin,head heavy,87,Kawasaki,G4,Black/Neon Green,30,nano-composite,isometric,2050,Professional
173,Cosmic Flare,head light,76,Carlton,G5,Blue/Yellow,25,graphite,oval,1650,Intermediate
174,Titan Force,even balance,83,Ashaway,G3,White/Black,28,carbon mesh,isometric,1900,Advanced
175,Hurricane X,head heavy,86,Forza,G4,Orange/Blue,29,aero-grade carbon,oval,2000,Professional
176,Airborne Assault,head light,77,RSL,G5,Green/Silver,26,nano-tubed graphite,isometric,1700,Intermediate
177,Phantom Edge,even balance,82,Apacs,G3,Purple/Gold,27,carbon fiber,oval,1850,Advanced
178,Cyclone Fury,head heavy,85,Black Knight,G4,Red/Gray,30,tungsten-graphite,isometric,2100,Professional
179,Kinetic Wave,dual balanced,84,Fleet,G5,Yellow/Black,28,woven carbon,oval,1950,Advanced
180,Falcon Wing,head heavy,87,Proace,G4,Teal/Gold,29,carbon-kevlar,isometric,2050,Professional
181,Zenith Pro,even balance,82,Xamsa,G5,Black/Silver,27,graphite-titanium,oval,1900,Advanced
182,Featherlight X,head light,75,Yehlex,G3,White/Lime,25,nano-carbon,isometric,1600,Intermediate
183,Thunderstrike Elite,head heavy,86,Tracer,G4,Red/Navy,30,high-modulus graphite,oval,2100,Professional
184,AeroSwift Lite,head light,77,Talbot Torro,G5,Orange/Gray,26,carbon fiber,isometric,1700,Intermediate
185,Quantum Flux,even balance,83,Senston,G3,Purple/Neon Yellow,28,nano-composite,oval,1850,Advanced
186,TitanForce X,head heavy,88,Perfly,G4,Blue/Orange,31,titanium-infused graphite,isometric,2150,Professional
187,Swift Feather,head light,76,Pointfore,G5,Green/White,25,ultra-light carbon,oval,1650,Intermediate
188,Vortex Precision,even balance,81,Oliver,G3,Silver/Black,27,aero-grade graphite,isometric,1800,Advanced
189,Cyclone Blast,head heavy,85,Mizuno,G4,Yellow/Purple,29,tungsten-carbon,oval,2000,Professional
190,Stealth Shadow,head light,78,Mantis,G5,Charcoal/Neon Blue,26,shadow carbon,isometric,1750,Intermediate
191,Hurricane Force Pro,even balance,82,Karakal,G3,Red/Silver,28,nano-resin graphite,oval,1900,Advanced
192,Phantom Striker,head heavy,87,Gosen,G4,Black/Gold,30,phantom-weave carbon,isometric,2100,Professional
193,Cosmic Flare Lite,head light,76,FZ Forza,G5,Pink/Gray,25,cosmic-grade graphite,oval,1650,Intermediate
194,AirStream Assault,even balance,83,Fleet,G3,Navy/Neon Green,28,air-flow carbon,isometric,1950,Advanced
195,Titan Sword,head heavy,86,Essence,G4,White/Red,29,sword-grade graphite,oval,2050,Professional
196,LightSpeed Ace,head light,77,Dunlop,G5,Light Blue/Black,26,ace-light carbon,isometric,1700,Intermediate
197,Precision Elite,even balance,82,Donnay,G3,Orange/White,27,elite-grade graphite,oval,1850,Advanced
198,Tornado Fury,head heavy,85,Babolat,G4,Green/Gold,30,fury-weave carbon,isometric,2000,Professional
199,Kinetic Pulse,dual balanced,84,Ashaway,G5,Purple/Silver,28,pulse-technology graphite,oval,1950,Advanced
200,Nebula Force,head heavy,87,Starlight,G4,Galaxy Blue/Silver,29,cosmic-carbon,isometric,2100,Professional
201,Velocity Pro,even balance,83,Swiftblade,G5,Red/Black,28,velocity-grade graphite,oval,1950,Advanced
202,Feather Rush,head light,76,Aerowing,G3,White/Neon Orange,25,rush-lite carbon,isometric,1650,Intermediate
203,Titan Crusher,head heavy,88,Powersmash,G4,Gunmetal/Gold,31,crush-resistant graphite,oval,2200,Professional
204,Zephyr Lite,head light,75,Windforce,G5,Teal/Yellow,26,zephyr-weave carbon,isometric,1600,Intermediate
205,Quantum Surge,even balance,82,Nanotech,G3,Electric Blue/White,27,surge-infused graphite,oval,1850,Advanced
206,Thunderbolt Pro,head heavy,86,Stormbreaker,G4,Black/Lightning Yellow,30,high-voltage carbon,isometric,2050,Professional
207,Swift Glide,head light,77,Glidetech,G5,Silver/Lime Green,25,glide-smooth carbon,oval,1700,Intermediate
208,Vortex Extreme,even balance,84,Extremeforce,G3,Orange/Dark Gray,28,vortex-grade graphite,isometric,1900,Advanced
209,Cyclone Master,head heavy,87,Windmaster,G4,Purple/Neon Green,29,cyclone-resistant carbon,oval,2150,Professional
210,Stealth Ninja,head light,76,Shadowcraft,G5,Matte Black/Red,26,ninja-light graphite,isometric,1650,Intermediate
211,Hurricane X-Force,even balance,83,Stormtech,G3,Navy/Flash Orange,28,x-force carbon fiber,oval,1950,Advanced
212,Phantom Edge Pro,head heavy,85,Edgemaster,G4,Charcoal/Electric Blue,30,edge-reinforced graphite,isometric,2000,Professional
213,Cosmic Flare Ultra,head light,78,Ultralight,G5,Neon Yellow/Black,25,ultra-cosmic carbon,oval,1750,Intermediate
214,AirStream Elite,even balance,82,Eliteforce,G3,White/Royal Blue,27,elite-air carbon,isometric,1850,Advanced
215,Titan Blaze,head heavy,86,Blazetech,G4,Flame Red/Orange,29,blaze-resistant graphite,oval,2100,Professional
216,LightSpeed Falcon,head light,77,Falconwing,G5,Sky Blue/Silver,26,falcon-grade carbon,isometric,1700,Intermediate
217,Precision Sniper,even balance,81,Sharpshooter,G3,Green/Black,28,sniper-precision graphite,oval,1800,Advanced
218,Tornado Twister,head heavy,85,Twisttech,G4,Tornado Gray/Neon Pink,30,twist-reinforced carbon,isometric,2050,Professional
219,Kinetic Fusion,dual balanced,84,Fusioncraft,G5,Fusion Purple/Gold,28,kinetic-fused graphite,oval,1950,Advanced
220,Apex Predator,head heavy,88,ApexTech,G4,Predator Black/Red,31,apex-grade carbon,isometric,2200,Professional
221,Nimbus Cloud,even balance,82,Cloudstrike,G5,Cloud White/Sky Blue,27,nimbus-light graphite,oval,1900,Advanced
222,Feather Whisper,head light,75,WhisperTech,G3,Whisper Gray/Pink,25,whisper-quiet carbon,isometric,1600,Intermediate
223,Titan Colossus,head heavy,87,ColossalForce,G4,Titanium Silver/Blue,30,colossal-strength graphite,oval,2150,Professional
224,Zephyr Breeze,head light,76,BreezeWing,G5,Breeze Green/White,26,breeze-flow carbon,isometric,1650,Intermediate
225,Quantum Leap,even balance,83,LeapForce,G3,Quantum Purple/Neon Green,28,leap-tech graphite,oval,1950,Advanced
226,Thunderstorm Elite,head heavy,86,StormElite,G4,Storm Gray/Lightning Yellow,29,storm-resistant carbon,isometric,2100,Professional
227,Swift Current,head light,77,CurrentTech,G5,River Blue/Silver,25,current-flow graphite,oval,1700,Intermediate
228,Vortex Typhoon,even balance,84,TyphoonForce,G3,Typhoon Teal/Orange,28,typhoon-grade carbon,isometric,1950,Advanced
229,Cyclone Tornado,head heavy,87,TornadoTech,G4,Tornado Red/Black,30,tornado-proof graphite,oval,2200,Professional
230,Stealth Phantom,head light,76,PhantomCraft,G5,Ghost White/Shadow Gray,26,phantom-light carbon,isometric,1650,Intermediate
231,Hurricane Tempest,even balance,83,TempestForce,G3,Tempest Blue/Flash Yellow,28,tempest-resistant graphite,oval,1900,Advanced
232,Phantom Mirage,head heavy,85,MirageWorks,G4,Mirage Silver/Purple,29,mirage-tech carbon,isometric,2050,Professional
233,Cosmic Nova,head light,78,NovaLight,G5,Nova Orange/Stardust White,25,nova-grade graphite,oval,1750,Intermediate
234,AirStream Jet,even balance,82,JetStream,G3,Jet Black/Neon Blue,27,jet-stream carbon,isometric,1850,Advanced
235,Titan Atlas,head heavy,86,AtlasForce,G4,Atlas Gold/Onyx Black,30,atlas-strength graphite,oval,2150,Professional
236,LightSpeed Photon,head light,77,PhotonTech,G5,Photon Yellow/Electric Purple,26,photon-light carbon,isometric,1700,Intermediate
237,Precision Hawk,even balance,81,HawkEye,G3,Hawk Brown/Forest Green,28,hawk-eye graphite,oval,1800,Advanced
238,Tornado Cyclone,head heavy,85,CycloneForce,G4,Cyclone Blue/Storm Gray,29,cyclone-resistant carbon,isometric,2000,Professional
239,Kinetic Electron,dual balanced,84,ElectronTech,G5,Electron Blue/Proton Red,28,electron-infused graphite,oval,1950,Advanced
240,Sigma Flux,head heavy,87,FluxTech,G4,Flux Green/Sigma Black,30,flux-infused carbon,isometric,2100,Professional
241,Helios Sun,even balance,83,SolarForce,G5,Solar Yellow/Helios Orange,28,sun-resistant graphite,oval,1950,Advanced
242,Feather Cirrus,head light,76,CirrusTech,G3,Cirrus White/Sky Blue,25,cirrus-light carbon,isometric,1650,Intermediate
243,Titan Olympus,head heavy,88,OlympusForce,G4,Olympian Gold/Royal Blue,31,olympus-grade graphite,oval,2200,Professional
244,Zephyr Mistral,head light,75,MistralWing,G5,Misty Gray/Sea Green,26,mistral-flow carbon,isometric,1600,Intermediate
245,Quantum Quasar,even balance,82,QuasarTech,G3,Quasar Purple/Cosmic White,27,quasar-infused graphite,oval,1850,Advanced
246,Thunderbolt Zeus,head heavy,86,ZeusForce,G4,Zeus Blue/Lightning Silver,29,zeus-power carbon,isometric,2050,Professional
247,Swift Mercury,head light,77,MercurySpeed,G5,Mercury Silver/Flash Red,25,mercury-grade graphite,oval,1700,Intermediate
248,Vortex Maelstrom,even balance,84,MaelstromTech,G3,Maelstrom Blue/Whirlpool White,28,maelstrom-resistant carbon,isometric,1900,Advanced
249,Cyclone Sirocco,head heavy,87,SiroccoForce,G4,Sirocco Orange/Desert Tan,30,sirocco-proof graphite,oval,2150,Professional
250,Stealth Eclipse,head light,76,EclipseTech,G5,Eclipse Black/Lunar Gray,26,eclipse-light carbon,isometric,1650,Intermediate
251,Hurricane Monsoon,even balance,83,MonsoonForce,G3,Monsoon Green/Storm Gray,28,monsoon-resistant graphite,oval,1950,Advanced
252,Phantom Spectre,head heavy,85,SpectreTech,G4,Spectre Silver/Ghost White,29,spectre-grade carbon,isometric,2000,Professional
253,Cosmic Nebula,head light,78,NebulaTech,G5,Nebula Pink/Stardust Purple,25,nebula-infused graphite,oval,1750,Intermediate
254,AirStream Zephyr,even balance,82,ZephyrTech,G3,Zephyr Blue/Cloud White,27,zephyr-flow carbon,isometric,1850,Advanced
255,Titan Kraken,head heavy,86,KrakenForce,G4,Kraken Black/Deep Sea Blue,30,kraken-strength graphite,oval,2100,Professional
256,LightSpeed Aurora,head light,77,AuroraTech,G5,Aurora Green/Polar White,26,aurora-light carbon,isometric,1700,Intermediate
257,Precision Falcon,even balance,81,FalconTech,G3,Falcon Brown/Sky Blue,28,falcon-eye graphite,oval,1800,Advanced
258,Tornado Tsunami,head heavy,85,TsunamiForce,G4,Tsunami Blue/Wave White,29,tsunami-resistant carbon,isometric,2050,Professional
259,Kinetic Neutron,dual balanced,84,NeutronTech,G5,Neutron Gray/Energy Green,28,neutron-infused graphite,oval,1950,Advanced
260,Plasma Pulse,head heavy,87,PulseTech,G4,Plasma Blue/Electric White,30,pulse-charged carbon,isometric,2150,Professional
261,Nova Burst,even balance,83,BurstForce,G5,Nova Orange/Cosmic Black,28,burst-resistant graphite,oval,1950,Advanced
262,Feather Wisp,head light,75,WispTech,G3,Wisp White/Ethereal Silver,25,wisp-light carbon,isometric,1600,Intermediate
263,Titan Goliath,head heavy,88,GoliathForce,G4,Goliath Red/Stone Gray,31,goliath-strength graphite,oval,2200,Professional
264,Zephyr Chinook,head light,76,ChinookWing,G5,Chinook Green/Arctic White,26,chinook-flow carbon,isometric,1650,Intermediate
265,Quantum Void,even balance,82,VoidTech,G3,Void Black/Nebula Purple,27,void-infused graphite,oval,1850,Advanced
266,Thunderbolt Thor,head heavy,86,ThorForce,G4,Thor Silver/Storm Blue,29,thor-power carbon,isometric,2100,Professional
267,Swift Comet,head light,77,CometSpeed,G5,Comet White/Tail Blue,25,comet-grade graphite,oval,1700,Intermediate
268,Vortex Whirlwind,even balance,84,WhirlwindTech,G3,Whirlwind Gray/Cyclone Yellow,28,whirlwind-resistant carbon,isometric,1900,Advanced
269,Cyclone Harmattan,head heavy,87,HarmattanForce,G4,Harmattan Gold/Desert Brown,30,harmattan-proof graphite,oval,2150,Professional
270,Stealth Wraith,head light,76,WraithTech,G5,Wraith Black/Shadow Purple,26,wraith-light carbon,isometric,1650,Intermediate
271,Hurricane Typhoon,even balance,83,TyphoonForce,G3,Typhoon Blue/Cloud Gray,28,typhoon-resistant graphite,oval,1950,Advanced
272,Phantom Poltergeist,head heavy,85,PoltergeistTech,G4,Poltergeist White/Ectoplasm Green,29,poltergeist-grade carbon,isometric,2000,Professional
273,Cosmic Pulsar,head light,78,PulsarTech,G5,Pulsar Red/Star White,25,pulsar-infused graphite,oval,1750,Intermediate
274,AirStream Mistral,even balance,82,MistralTech,G3,Mistral Blue/Sea Foam,27,mistral-flow carbon,isometric,1850,Advanced
