,Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
204,Zephyr Lite,head light,75,Windforce,G5,Teal/Yellow,26,carbon,isometric,1600,Intermediate
207,Swift Glide,head light,77,Glidetech,G5,Silver/Lime Green,25,carbon,oval,1700,Intermediate
210,Stealth Ninja,head light,76,Shadowcraft,G5,Matte Black/Red,26,graphite,isometric,1650,Intermediate
213,Cosmic Flare Ultra,head light,78,Ultralight,G5,Neon Yellow/Black,25,carbon,oval,1750,Intermediate
216,LightSpeed Falcon,head light,77,Falconwing,G5,Sky Blue/Silver,26,carbon,isometric,1700,Intermediate
222,Feather Whisper,head light,75,WhisperTech,G3,Whisper Gray/Pink,25,carbon,isometric,1600,Intermediate
224,Zephyr Breeze,head light,76,BreezeWing,G5,Breeze Green/White,26,carbon,isometric,1650,Intermediate
227,Swift Current,head light,77,CurrentTech,G5,River Blue/Silver,25,graphite,oval,1700,Intermediate
230,Stealth Phantom,head light,76,PhantomCraft,G5,Ghost White/Shadow Gray,26,carbon,isometric,1650,Intermediate
233,Cosmic Nova,head light,78,NovaLight,G5,Nova Orange/Stardust White,25,graphite,oval,1750,Intermediate
236,LightSpeed Photon,head light,77,PhotonTech,G5,Photon Yellow/Electric Purple,26,carbon,isometric,1700,Intermediate
242,Feather Cirrus,head light,76,CirrusTech,G3,Cirrus White/Sky Blue,25,carbon,isometric,1650,Intermediate
244,Zephyr Mistral,head light,75,MistralWing,G5,Misty Gray/Sea Green,26,carbon,isometric,1600,Intermediate
247,Swift Mercury,head light,77,MercurySpeed,G5,Mercury Silver/Flash Red,25,graphite,oval,1700,Intermediate
250,Stealth Eclipse,head light,76,EclipseTech,G5,Eclipse Black/Lunar Gray,26,carbon,isometric,1650,Intermediate
253,Cosmic Nebula,head light,78,NebulaTech,G5,Nebula Pink/Stardust Purple,25,graphite,oval,1750,Intermediate
256,LightSpeed Aurora,head light,77,AuroraTech,G5,Aurora Green/Polar White,26,carbon,isometric,1700,Intermediate
262,Feather Wisp,head light,75,WispTech,G3,Wisp White/Ethereal Silver,25,carbon,isometric,1600,Intermediate
264,Zephyr Chinook,head light,76,ChinookWing,G5,Chinook Green/Arctic White,26,carbon,isometric,1650,Intermediate
267,Swift Comet,head light,77,CometSpeed,G5,Comet White/Tail Blue,25,graphite,oval,1700,Intermediate
270,Stealth Wraith,head light,76,WraithTech,G5,Wraith Black/Shadow Purple,26,carbon,isometric,1650,Intermediate
273,Cosmic Pulsar,head light,78,PulsarTech,G5,Pulsar Red/Star White,25,graphite,oval,1750,Intermediate
276,LightSpeed Neutrino,head light,77,NeutrinoTech,G5,Neutrino Blue/Quantum White,26,carbon,isometric,1700,Intermediate
282,Feather Nimbus,head light,75,NimbusTech,G3,Nimbus Gray/Cloud White,25,carbon,isometric,1600,Intermediate
284,Zephyr Sirocco,head light,76,SiroccoWing,G5,Sirocco Tan/Desert Gold,26,carbon,isometric,1650,Intermediate
287,Swift Meteor,head light,77,MeteorSpeed,G5,Meteor Gray/Flame Orange,25,graphite,oval,1700,Intermediate
290,Stealth Shadowblade,head light,76,ShadowbladeTech,G5,Shadow Black/Ninja Gray,26,carbon,isometric,1650,Intermediate
293,Cosmic Quasar,head light,78,QuasarTech,G5,Quasar Purple/Galactic Silver,25,graphite,oval,1750,Intermediate
296,LightSpeed Photon,head light,77,PhotonTech,G5,Photon Yellow/Light Blue,26,carbon,isometric,1700,Intermediate
302,Feather Gossamer,head light,75,GossamerTech,G3,Gossamer White/Mist Gray,25,carbon,isometric,1600,Intermediate
304,Zephyr Boreas,head light,76,BoreasWing,G5,Boreas Silver/Arctic Blue,26,carbon,isometric,1650,Intermediate
307,Swift Cheetah,head light,77,CheetahSpeed,G5,Cheetah Orange/Savannah Tan,25,graphite,oval,1700,Intermediate
310,Stealth Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost White,26,carbon,isometric,1650,Intermediate
313,Cosmic Nebula,head light,78,NebulaTech,G5,Nebula Pink/Celestial Blue,25,graphite,oval,1750,Intermediate
316,LightSpeed Lumina,head light,77,LuminaTech,G5,Lumina White/Prism Rainbow,26,carbon,isometric,1700,Intermediate
322,Whirlwind Gale,head light,76,GaleTech,G5,Gale White/Wind Gray,25,carbon,oval,1600,Intermediate
324,Breeze Zephyr,head light,75,ZephyrWing,G5,Zephyr Silver/Cloud Blue,26,carbon,oval,1650,Intermediate
327,Speedster Jaguar,head light,77,JaguarSpeed,G5,Jaguar Orange/Forest Tan,25,graphite,isometric,1700,Intermediate
330,Phantom Mirage,head light,76,MirageTech,G5,Mirage Black/Ghost White,26,carbon,oval,1650,Intermediate
333,Celestial Nova,head light,78,NovaWing,G5,Nova Pink/Starry Blue,25,graphite,isometric,1750,Intermediate
336,LightSpeed Aurora,head light,77,AuroraTech,G5,Aurora White/Prism Rainbow,26,carbon,oval,1700,Intermediate
340,Aurora Polaris,head light,76,PolarisTech,G5,Polaris White/Aurora Green,25,carbon,oval,1600,Intermediate
343,Gust Tempest,head light,75,TempestWing,G5,Tempest White/Wind Gray,26,carbon,isometric,1650,Intermediate
347,Panther Swift,head light,77,SwiftTech,G5,Swift Orange/Jungle Tan,25,graphite,isometric,1700,Intermediate
350,Mirage Phantom,head light,76,PhantomWing,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
353,Starlight Nova,head light,78,NovaForce,G5,Nova Pink/Starlight Blue,25,graphite,isometric,1750,Intermediate
356,Luminous Aurora,head light,77,AuroraWing,G5,Aurora White/Prism Green,26,carbon,oval,1700,Intermediate
362,Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1600,Intermediate
364,Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
367,Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
370,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
373,Celestial Star,head light,78,StarTech,G5,Star Pink/Celestial Blue,25,graphite,isometric,1750,Intermediate
376,Aurora Light,head light,77,LightTech,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
382,Feather Breeze,head light,75,BreezeTech,G5,Breeze White/Light Gray,25,carbon,oval,1600,Intermediate
384,Typhoon Gale,head light,76,GaleWing,G5,Gale Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
387,Panther Speed,head light,77,SpeedWing,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
390,Ghost Shadow,head light,76,ShadowWing,G5,Shadow Black/Ghost Silver,26,carbon,oval,1650,Intermediate
393,Celestial Comet,head light,78,CometTech,G5,Comet Pink/Celestial Blue,25,graphite,isometric,1750,Intermediate
396,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
402,Feather Light,head light,75,LightTech,G5,Light White/Light Gray,25,carbon,oval,1600,Intermediate
404,Typhoon Tempest,head light,76,TempestTech,G5,Tempest Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
407,Panther Swift,head light,77,SwiftWing,G5,Swift Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
410,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
413,Celestial Nova,head light,78,NovaTech,G5,Nova Pink/Starry Blue,25,graphite,isometric,1750,Intermediate
416,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
422,Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1600,Intermediate
424,Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
427,Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
430,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
433,Celestial Star,head light,78,StarTech,G5,Star Pink/Celestial Blue,25,graphite,isometric,1750,Intermediate
436,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
442,Feather Light,head light,75,LightTech,G5,Light White/Light Gray,25,carbon,oval,1600,Intermediate
444,Typhoon Tempest,head light,76,TempestTech,G5,Tempest Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
447,Panther Swift,head light,77,SwiftWing,G5,Swift Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
450,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
453,Celestial Nova,head light,78,NovaTech,G5,Nova Pink/Starry Blue,25,graphite,isometric,1750,Intermediate
456,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
462,Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1600,Intermediate
464,Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
467,Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
470,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
472,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
478,Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1600,Intermediate
480,Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
483,Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
486,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
489,Celestial Star,head light,78,StarTech,G5,Star Pink/Celestial Blue,25,graphite,isometric,1750,Intermediate
492,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
498,Feather Light,head light,75,LightTech,G5,Light White/Light Gray,25,carbon,oval,1600,Intermediate
500,Typhoon Tempest,head light,76,TempestTech,G5,Tempest Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
503,Panther Swift,head light,77,SwiftWing,G5,Swift Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
506,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
509,Celestial Nova,head light,78,NovaTech,G5,Nova Pink/Starry Blue,25,graphite,isometric,1750,Intermediate
512,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
518,Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1600,Intermediate
520,Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
523,Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
526,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
533,Feather Breeze,head light,74,BreezeTech,G5,Breeze White/Light Blue,25,carbon,oval,1620,Intermediate
535,Typhoon Wave,head light,75,WaveWing,G5,Wave Gray/Ocean Blue,26,carbon,oval,1670,Intermediate
538,Panther Agile,head light,76,AgileTech,G5,Agile Orange/Jungle Tan,25,graphite,isometric,1720,Intermediate
541,Ghost Wraith,head light,76,WraithTech,G5,Wraith Black/Phantom Silver,26,carbon,oval,1670,Intermediate
544,Celestial Quasar,head light,78,QuasarTech,G5,Quasar Pink/Star Blue,25,graphite,isometric,1770,Intermediate
547,Aurora Spark,head light,77,SparkWing,G5,Spark White/Prism Green,26,carbon,oval,1720,Intermediate
553,Feather Lightwing,head light,75,LightwingTech,G5,Lightwing White/Light Gray,25,carbon,oval,1620,Intermediate
555,Typhoon Thunder,head light,76,ThunderTech,G5,Thunder Gray/Storm Blue,26,carbon,oval,1670,Intermediate
558,Panther Speedster,head light,77,SpeedsterTech,G5,Speedster Orange/Savannah Tan,25,graphite,isometric,1720,Intermediate
561,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1670,Intermediate
564,Celestial Nova,head light,78,NovaTech,G5,Nova Pink/Starry Blue,25,graphite,isometric,1770,Intermediate
567,Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1720,Intermediate
573,Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1620,Intermediate
575,Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1670,Intermediate
578,Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1720,Intermediate
581,Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1670,Intermediate
585,Quasar Spark,head light,78,SparkTech,G5,Spark Pink/Star Silver,25,graphite,isometric,1800,Intermediate
588,Nebula Comet,head light,76,CometWing,G5,Comet Black/Nebula Blue,26,graphite,oval,1680,Intermediate
592,Nova Starlight,head light,77,StarlightTech,G5,Starlight Silver/Night Black,26,carbon,oval,1720,Intermediate
595,Aurora Flash,head light,78,FlashTech,G5,Flash White/Rainbow Blue,25,graphite,isometric,1800,Intermediate
598,Prism Light,head light,76,LightWing,G5,Light Pink/Prism White,26,carbon,oval,1680,Intermediate
601,Quasar Flame,head light,78,FlameWing,G5,Flame Orange/Star Silver,25,carbon,isometric,1800,Intermediate
606,Orion Zenith,head light,77,ZenithTech,G5,Zenith Silver/Night Black,26,carbon,oval,1720,Intermediate
609,Nebula Flash,head light,78,FlashWing,G5,Flash White/Nebula Blue,25,graphite,isometric,1800,Intermediate
612,Photon Radiance,head light,76,RadianceTech,G5,Radiance Pink/Light Blue,26,carbon,oval,1680,Intermediate
615,Quasar Blaze,head light,78,BlazeTech,G5,Blaze White/Star Silver,25,carbon,isometric,1800,Intermediate
620,Orion Radiance,head light,77,RadianceWing,G5,Radiance Silver/Night Black,26,carbon,oval,1720,Intermediate
623,Nebula Spark,head light,78,SparkTech,G5,Spark White/Nebula Blue,25,graphite,isometric,1800,Intermediate
626,Photon Flash,head light,76,FlashTech,G5,Flash Pink/Light Blue,26,carbon,oval,1680,Intermediate
629,Quasar Storm,head light,78,StormWing,G5,Storm White/Star Silver,25,carbon,isometric,1800,Intermediate
634,Orion Flash,head light,77,FlashWing,G5,Flash Silver/Night Black,26,carbon,oval,1720,Intermediate
637,Nebula Blaze,head light,78,BlazeWing,G5,Blaze White/Nebula Blue,25,graphite,isometric,1800,Intermediate
